M: , N: , K: , FISTA runtime (seconds): , MSE: , PSNR: , SSIM:  
15, 225, 56,  0.28 , 877.17386, 18.69995, 0.84365
16, 256, 64,  0.15 , 1126.37163, 17.61399, 0.81677
17, 289, 72,  0.25 , 931.27653, 18.44002, 0.83556
18, 324, 81,  0.07 , 901.44242, 18.58142, 0.82618
19, 361, 90,  0.10 , 907.49126, 18.55238, 0.84440
20, 400, 100,  0.09 , 836.11640, 18.90814, 0.83988
21, 441, 110,  0.10 , 992.84499, 18.16199, 0.82962
22, 484, 121,  0.05 , 935.89613, 18.41853, 0.82749
23, 529, 132,  0.71 , 949.65528, 18.35514, 0.83857
24, 576, 144,  1.79 , 1023.25458, 18.03097, 0.81807
25, 625, 156,  2.04 , 895.12503, 18.61197, 0.83422
26, 676, 169,  1.99 , 904.52917, 18.56658, 0.82826
27, 729, 182,  0.09 , 849.02439, 18.84160, 0.83783
28, 784, 196,  0.13 , 823.96756, 18.97170, 0.84646
29, 841, 210,  0.15 , 796.46197, 19.11915, 0.84244
30, 900, 225,  0.14 , 798.85746, 19.10611, 0.83793
31, 961, 240,  2.95 , 817.63172, 19.00523, 0.85123
32, 1024, 256,  1.80 , 798.00663, 19.11074, 0.84339
33, 1089, 272,  0.37 , 863.32469, 18.76906, 0.83763
34, 1156, 289,  0.33 , 864.05919, 18.76537, 0.83156
35, 1225, 306,  0.30 , 856.26092, 18.80474, 0.83770
36, 1296, 324,  0.42 , 718.17388, 19.56851, 0.85270
37, 1369, 342,  2.85 , 763.15427, 19.30468, 0.85033
38, 1444, 361,  2.56 , 797.41159, 19.11398, 0.84446
39, 1521, 380,  2.69 , 757.16797, 19.33888, 0.84245
40, 1600, 400,  2.64 , 832.74953, 18.92566, 0.84571
41, 1681, 420,  0.69 , 817.04241, 19.00836, 0.83356
42, 1764, 441,  2.69 , 773.19462, 19.24792, 0.84351
43, 1849, 462,  1.15 , 812.29410, 19.03367, 0.83919
44, 1936, 484,  3.34 , 806.82692, 19.06300, 0.83356
45, 2025, 506,  1.64 , 750.23718, 19.37882, 0.82871
46, 2116, 529,  3.70 , 775.31852, 19.23600, 0.84288
47, 2209, 552,  2.19 , 752.38167, 19.36642, 0.84475
48, 2304, 576,  5.01 , 826.04289, 18.96078, 0.82798
49, 2401, 600,  3.03 , 746.03358, 19.40322, 0.83982
50, 2500, 625,  7.40 , 764.73721, 19.29568, 0.84149
51, 2601, 650,  4.03 , 741.00213, 19.43261, 0.83241
52, 2704, 676,  4.53 , 727.07430, 19.51502, 0.83843
53, 2809, 702,  5.10 , 741.93938, 19.42712, 0.84041
54, 2916, 729,  5.93 , 671.15162, 19.86260, 0.84913
55, 3025, 756,  7.79 , 757.45288, 19.33725, 0.83488
56, 3136, 784,  7.56 , 770.95390, 19.26052, 0.83368
57, 3249, 812,  9.54 , 767.88452, 19.27784, 0.83129
58, 3364, 841,  11.72 , 743.50370, 19.41797, 0.83561
59, 3481, 870,  11.34 , 741.23805, 19.43123, 0.83261
60, 3600, 900,  12.05 , 743.15413, 19.42001, 0.82929
61, 3721, 930,  13.26 , 768.17310, 19.27621, 0.83353
62, 3844, 961,  14.51 , 734.08656, 19.47333, 0.83669
63, 3969, 992,  18.26 , 742.00769, 19.42672, 0.82780
64, 4096, 1024,  24.26 , 749.35917, 19.38390, 0.83469
65, 4225, 1056,  19.34 , 728.85074, 19.50442, 0.83633
66, 4356, 1089,  22.26 , 723.47105, 19.53659, 0.83080
67, 4489, 1122,  23.94 , 721.84505, 19.54636, 0.83395
68, 4624, 1156,  26.05 , 727.45594, 19.51274, 0.83147
69, 4761, 1190,  28.79 , 706.44439, 19.64002, 0.84256
70, 4900, 1225,  32.36 , 687.57795, 19.75758, 0.83922
71, 5041, 1260,  35.49 , 716.17780, 19.58060, 0.83501
72, 5184, 1296,  38.48 , 736.79007, 19.45737, 0.83293
73, 5329, 1332,  40.89 , 694.00970, 19.71715, 0.83468
74, 5476, 1369,  46.07 , 687.15733, 19.76024, 0.83716
75, 5625, 1406,  47.73 , 680.88997, 19.80003, 0.83425
76, 5776, 1444,  50.18 , 682.84332, 19.78759, 0.83401
77, 5929, 1482,  56.71 , 667.94446, 19.88340, 0.83579
78, 6084, 1521,  59.12 , 678.95774, 19.81238, 0.83506
79, 6241, 1560,  68.09 , 696.33651, 19.70261, 0.83308
80, 6400, 1600,  71.70 , 684.91806, 19.77442, 0.83316
81, 6561, 1640,  76.03 , 699.80058, 19.68106, 0.83150
82, 6724, 1681,  82.28 , 663.91648, 19.90967, 0.83858
83, 6889, 1722,  86.44 , 678.76898, 19.81358, 0.83540
84, 7056, 1764,  95.83 , 675.72753, 19.83309, 0.83638
85, 7225, 1806,  97.59 , 641.82826, 20.05662, 0.84202
86, 7396, 1849,  106.13 , 682.87452, 19.78739, 0.83456
87, 7569, 1892,  112.33 , 675.78710, 19.83270, 0.83738
88, 7744, 1936,  122.51 , 676.93062, 19.82536, 0.83111
89, 7921, 1980,  128.68 , 663.22615, 19.91419, 0.83290
90, 8100, 2025,  135.39 , 605.44764, 20.31004, 0.84148
91, 8281, 2070,  145.53 , 656.01946, 19.96164, 0.83531
92, 8464, 2116,  154.41 , 652.23692, 19.98675, 0.83608
93, 8649, 2162,  166.12 , 644.19138, 20.04065, 0.83790
94, 8836, 2209,  178.30 , 630.28883, 20.13541, 0.84049
95, 9025, 2256,  186.49 , 654.78761, 19.96980, 0.83747
96, 9216, 2304,  206.66 , 633.62751, 20.11246, 0.83748
97, 9409, 2352,  215.76 , 628.46129, 20.14802, 0.83631
98, 9604, 2401,  224.37 , 638.66518, 20.07807, 0.83703
99, 9801, 2450,  237.97 , 629.14491, 20.14330, 0.83594
100, 10000, 2500,  250.41 , 621.91705, 20.19348, 0.83975
